time,life-time,size,area,mass,radius
2424,9,24,22,809,4.47213595499958
2426,2,2,2,811,1.0
2428,20,82,82,812,12.806248474865697
2431,2,2,2,815,1.0
2433,20,69,67,817,10.198039027185569
2435,5,8,8,814,2.23606797749979
2438,16,52,52,814,9.219544457292887
2439,10,20,20,811,4.242640687119285
2443,8,15,15,815,4.123105625617661
2446,2,2,2,817,1.0
2447,10,16,16,818,4.47213595499958
2450,13,63,37,821,7.211102550927978
2452,6,8,8,823,3.605551275463989
2453,13,18,18,824,4.123105625617661
2454,2,2,2,825,1.0
2457,22,52,42,826,6.324555320336759
2458,4,4,4,827,1.4142135623730951
2459,11,24,24,824,6.708203932499369
2462,6,6,6,825,2.23606797749979
2463,10,28,24,823,6.324555320336759
2468,1,1,1,827,0.0
2471,36,112,112,826,13.92838827718412
2474,43,185,185,814,18.24828759089466
2475,32,130,66,812,10.0
2479,3,5,5,816,2.0
2480,2,2,2,817,1.0
2481,2,4,4,818,1.0
2484,11,29,29,821,7.0
2491,27,104,104,822,14.317821063276353
2492,2,2,2,823,1.0
2493,6,17,17,824,3.1622776601683795
2494,1,1,1,825,0.0
2495,9,29,29,826,6.0
2499,10,33,33,824,5.0
2500,7,30,30,819,4.242640687119285
2501,27,104,60,814,8.54400374531753
2502,3,3,3,813,1.4142135623730951
2504,11,20,20,815,5.385164807134504
2507,1,1,1,818,0.0
2509,2,2,2,818,1.0
2510,4,5,5,819,2.0
2511,43,345,101,811,11.180339887498949
2513,22,73,73,809,13.601470508735444
2518,20,50,50,811,7.615773105863909
2523,4,9,7,815,2.23606797749979
2525,19,49,49,816,7.280109889280518
2527,2,4,4,818,1.0
2528,34,173,167,812,13.892443989449804
2529,4,4,4,813,1.4142135623730951
2533,12,19,19,815,7.0710678118654755
2534,1,1,1,816,0.0
2542,7,14,14,824,3.605551275463989
2547,11,23,23,829,5.830951894845301
2551,14,34,28,833,5.385164807134504
2555,38,157,58,834,11.045361017187261
2559,1,1,1,838,0.0
2562,3,3,3,841,1.4142135623730951
2563,3,5,5,841,2.0
2570,11,29,27,848,5.656854249492381
2572,15,40,40,840,9.219544457292887
2574,14,28,28,838,5.830951894845301
2576,38,190,190,834,16.278820596099706
2579,2,3,3,837,1.0
2582,12,21,15,831,3.1622776601683795
2585,3,6,6,830,2.0
2586,28,90,90,829,9.219544457292887
2588,11,17,17,830,5.0990195135927845
2591,6,16,10,832,2.23606797749979
2593,48,204,190,820,12.206555615733702
2596,41,132,76,812,9.486832980505138
2598,28,54,54,814,9.055385138137417
2599,3,3,3,815,1.4142135623730951
2600,8,16,14,816,3.605551275463989
2601,8,18,18,817,3.1622776601683795
2602,32,101,71,814,6.4031242374328485
2605,3,5,5,817,1.4142135623730951
